spanish,english,example,notes,tags
el aeropuerto,airport,"El aeropuerto está lejos de la ciudad.",,travel
el vuelo,flight,"Mi vuelo sale a las ocho.",,travel
el boleto / el billete,ticket,"Tengo el boleto en el teléfono.",Latin America says boleto; Spain says billete,travel
el pasaporte,passport,"¿Me muestra su pasaporte, por favor?",,travel
la maleta,suitcase,"Mi maleta pesa veinte kilos.",,travel
el equipaje de mano,carry-on luggage,"Solo llevo equipaje de mano.",,travel
la puerta de embarque,gate,"La puerta de embarque es la B12.",,travel
el asiento,seat,"Prefiero un asiento de ventanilla.",,travel
la ventanilla,window (plane or counter),"¿Ventanilla o pasillo?",Also the ticket counter,travel
el pasillo,aisle,"Quiero un asiento de pasillo.",,travel
abordar,to board,"Vamos a abordar en diez minutos.",Spain also says embarcar,travel
despegar,to take off,"El avión despega a tiempo.",,travel
aterrizar,to land,"Aterrizamos en Ciudad de México a las tres.",,travel
la escala,layover,"Tengo una escala de dos horas en Miami.",,travel
retrasado,delayed,"El vuelo está retrasado una hora.",,travel
la aduana,customs,"Pasamos por la aduana sin problemas.",,travel
¿dónde está…?,where is…?,"¿Dónde está la puerta de embarque?",,travel
facturar el equipaje,to check luggage,"Necesito facturar el equipaje.",Latin America often says documentar el equipaje,travel
la tarjeta de embarque,boarding pass,"Muestre su tarjeta de embarque, por favor.",,travel
perder el vuelo,to miss the flight,"¡Corre o vamos a perder el vuelo!",,travel
