spanish,english,example,notes,tags,presente,preterito,imperfecto,futuro,condicional,subjuntivo
hola,hello,"Hola, ¿cómo estás?",,greetings,,,,,,
gracias,thank you,Muchas gracias por tu ayuda.,,greetings,,,,,,
por favor,please,"Un café, por favor.",,greetings,,,,,,
lo siento,I'm sorry,"Lo siento, no te entendí.",,greetings,,,,,,
buenos días,good morning,"Buenos días, señora.",Used until about noon,greetings,,,,,,
buenas noches,good night / good evening,"Buenas noches, hasta mañana.",,greetings,,,,,,
sí,yes,"Sí, claro.",Accent distinguishes it from “si” (if),basics,,,,,,
no,no,"No, gracias.",,basics,,,,,,
el agua,water,Quiero un vaso de agua.,Feminine noun that takes “el” in the singular,food,,,,,,
el pan,bread,El pan está caliente.,,food,,,,,,
la leche,milk,No tomo leche.,,food,,,,,,
la manzana,apple,Como una manzana cada día.,,food,,,,,,
el pollo,chicken,El pollo con arroz es mi plato favorito.,,food,,,,,,
la cuenta,the bill / the check,"La cuenta, por favor.",,food,,,,,,
comer,to eat,Vamos a comer a las dos.,,verbs,como|comes|come|comemos|coméis|comen,comí|comiste|comió|comimos|comisteis|comieron,comía|comías|comía|comíamos|comíais|comían,comeré|comerás|comerá|comeremos|comeréis|comerán,comería|comerías|comería|comeríamos|comeríais|comerían,coma|comas|coma|comamos|comáis|coman
beber,to drink,¿Quieres beber algo?,,verbs,bebo|bebes|bebe|bebemos|bebéis|beben,bebí|bebiste|bebió|bebimos|bebisteis|bebieron,bebía|bebías|bebía|bebíamos|bebíais|bebían,beberé|beberás|beberá|beberemos|beberéis|beberán,bebería|beberías|bebería|beberíamos|beberíais|beberían,beba|bebas|beba|bebamos|bebáis|beban
hablar,to speak / to talk,Hablo un poco de español.,,verbs,hablo|hablas|habla|hablamos|habláis|hablan,hablé|hablaste|habló|hablamos|hablasteis|hablaron,hablaba|hablabas|hablaba|hablábamos|hablabais|hablaban,hablaré|hablarás|hablará|hablaremos|hablaréis|hablarán,hablaría|hablarías|hablaría|hablaríamos|hablaríais|hablarían,hable|hables|hable|hablemos|habléis|hablen
tener,to have,Tengo dos hermanos.,"Irregular: tengo, tienes, tiene",verbs,tengo|tienes|tiene|tenemos|tenéis|tienen,tuve|tuviste|tuvo|tuvimos|tuvisteis|tuvieron,tenía|tenías|tenía|teníamos|teníais|tenían,tendré|tendrás|tendrá|tendremos|tendréis|tendrán,tendría|tendrías|tendría|tendríamos|tendríais|tendrían,tenga|tengas|tenga|tengamos|tengáis|tengan
